Date,Open,High,Low,Close,Volume
2026-05-04 03:45:00,1433.4,1445.0,1433.4,1443.7,792441
2026-05-04 03:50:00,1443.7,1446.5,1439.8,1441.3,318074
2026-05-04 03:55:00,1441.7,1442.5,1437.8,1438.5,208316
2026-05-04 04:00:00,1438.5,1442.3,1438.5,1441.6,225557
2026-05-04 04:05:00,1441.9,1445.0,1441.5,1444.7,186978
2026-05-04 04:10:00,1444.7,1445.7,1443.4,1443.5,172624
2026-05-04 04:15:00,1443.8,1444.0,1441.8,1443.6,154583
2026-05-04 04:20:00,1444.3,1444.3,1439.5,1439.5,144682
2026-05-04 04:25:00,1440.1,1441.8,1438.2,1441.8,139369
2026-05-04 04:30:00,1441.8,1443.6,1438.3,1438.5,183199
2026-05-04 04:35:00,1438.3,1440.5,1437.9,1438.9,149649
2026-05-04 04:40:00,1438.5,1439.8,1436.0,1437.2,142402
2026-05-04 04:45:00,1437.2,1439.8,1437.2,1438.0,171711
2026-05-04 04:50:00,1438.0,1440.3,1437.0,1439.0,178829
2026-05-04 04:55:00,1438.8,1442.0,1438.5,1441.7,110027
2026-05-04 05:00:00,1442.2,1445.1,1442.0,1442.7,440704
2026-05-04 05:05:00,1442.7,1445.6,1442.4,1445.4,282960
2026-05-04 05:10:00,1445.3,1448.5,1445.0,1446.2,343347
2026-05-04 05:15:00,1446.1,1446.9,1444.4,1446.4,216686
2026-05-04 05:20:00,1446.3,1446.5,1445.1,1445.6,132426
2026-05-04 05:25:00,1445.8,1446.0,1443.7,1445.1,473331
2026-05-04 05:30:00,1445.1,1446.2,1444.8,1446.1,229665
2026-05-04 05:35:00,1446.1,1447.0,1445.0,1446.5,197748
2026-05-04 05:40:00,1446.5,1449.0,1446.5,1448.5,226181
2026-05-04 05:45:00,1448.1,1451.0,1448.0,1448.1,341722
2026-05-04 05:50:00,1448.0,1448.8,1447.7,1448.2,143239
2026-05-04 05:55:00,1448.2,1449.0,1447.7,1448.6,170896
2026-05-04 06:00:00,1448.7,1448.7,1447.2,1448.2,194488
2026-05-04 06:05:00,1448.2,1450.0,1448.0,1449.4,138606
2026-05-04 06:10:00,1449.3,1449.8,1448.0,1449.6,89848
2026-05-04 06:15:00,1449.6,1450.1,1448.3,1449.6,119872
2026-05-04 06:20:00,1449.6,1452.7,1449.6,1451.0,252390
2026-05-04 06:25:00,1451.0,1451.0,1449.8,1450.6,118783
2026-05-04 06:30:00,1450.7,1451.3,1449.0,1450.1,150420
2026-05-04 06:35:00,1450.0,1451.0,1449.1,1449.7,255680
2026-05-04 06:40:00,1449.7,1450.0,1446.5,1447.0,557284
2026-05-04 06:45:00,1446.8,1450.9,1446.7,1450.4,511672
2026-05-04 06:50:00,1450.6,1451.0,1448.0,1450.2,320296
2026-05-04 06:55:00,1450.2,1451.0,1448.7,1450.3,247275
2026-05-04 07:00:00,1450.2,1451.8,1449.5,1451.0,363767
2026-05-04 07:05:00,1451.0,1453.2,1450.6,1452.9,301154
2026-05-04 07:10:00,1453.0,1455.3,1453.0,1454.0,945738
2026-05-04 07:15:00,1454.0,1458.1,1454.0,1455.6,588303
2026-05-04 07:20:00,1455.7,1461.7,1454.5,1460.6,506631
2026-05-04 07:25:00,1460.5,1464.4,1459.7,1461.0,478812
2026-05-04 07:30:00,1461.0,1461.8,1457.1,1458.2,294705
2026-05-04 07:35:00,1458.1,1460.9,1456.8,1460.8,525722
2026-05-04 07:40:00,1460.7,1460.8,1459.2,1460.0,119415
2026-05-04 07:45:00,1460.1,1460.5,1457.3,1459.0,190201
2026-05-04 07:50:00,1459.0,1459.1,1456.2,1457.5,478685
2026-05-04 07:55:00,1457.5,1459.4,1455.1,1455.4,205041
2026-05-04 08:00:00,1455.3,1458.2,1454.5,1457.3,568958
2026-05-04 08:05:00,1457.4,1458.9,1456.0,1458.7,361365
2026-05-04 08:10:00,1458.6,1460.5,1457.9,1460.2,220994
2026-05-04 08:15:00,1460.5,1460.6,1458.9,1460.4,261094
2026-05-04 08:20:00,1460.5,1461.8,1460.0,1461.3,189352
2026-05-04 08:25:00,1461.3,1461.5,1458.9,1461.0,428736
2026-05-04 08:30:00,1461.0,1461.5,1459.1,1460.5,167761
2026-05-04 08:35:00,1460.5,1462.0,1460.4,1461.7,388857
2026-05-04 08:40:00,1462.0,1463.2,1460.4,1461.1,352170
2026-05-04 08:45:00,1461.3,1462.0,1459.3,1461.2,211395
